A270;Leptospirosi icterohemorràgica
A278;Altres formes de leptospirosi
A279;Leptospirosi no especificada
A280;Pasteurel·losi
A281;Malaltia per esgarrapada de gat
A282;Yersiniosi extraintestinal
A288;Altres malalties bacterianes zoonòtiques especificades no classificades a cap altre lloc
A289;Malaltia bacteriana zoonòtica no especificada
A300;Lepra indeterminada
A301;Lepra tuberculoide
A302;Lepra tuberculoide límit
A303;Lepra límit
A304;Lepra lepromatosa límit
A305;Lepra lepromatosa
A308;Altres formes de lepra
A309;Lepra no especificada
A310;Infecció micobacteriana pulmonar
A311;Infecció micobacteriana cutània
A318;Altres infeccions micobacterianes
A319;Infecció micobacteriana no especificada
A320;Listeriosi cutània
A321;Meningitis i meningoencefalitis listeriòtiques
A327;Septicèmia listeriòtica
A328;Altres formes de listeriosi
A329;Listeriosi no especificada
A360;Diftèria faríngia
A361;Diftèria rinofaríngia
A362;Diftèria laríngia
A363;Diftèria cutània
A368;Altres diftèries
A369;Diftèria no especificada
A370;Tos ferina causada per Bordetella pertussis
A371;Tos ferina causada per Bordetella parapertussis
A378;Tos ferina causada per altres espècies de Bordetella
A379;Tos ferina no especificada
A390;Meningitis meningocòccica (G01**)
A391;Síndrome de Waterhouse-Friderichsen (E35.1**)
A392;Meningococcèmia aguda
A393;Meningococcèmia crònica
A394;Meningococcèmia no especificada
A395;Cardiopatia meningocòccica
A398;Altres infeccions meningocòcciques
A399;Infecció meningocòccica no especificada
A400;Septicèmia causada per estreptococs, grup A
A401;Septicèmia causada per estreptococs, grup B
A402;Septicèmia causada per estreptococs, grup D
A403;Septicèmia causada per Streptococcus pneumoniae
A408;Altres septicèmies estreptocòcciques
A409;Septicèmia estreptocòccica no especificada
A410;Septicèmia causada per Staphylococcus aureus
A411;Septicèmia causada per altres estafilococs especificats
A412;Septicèmia causada per estafilococs no especificats
A413;Septicèmia causada per Haemophilus influenzae
A414;Septicèmia causada per anaerobis
A415;Septicèmia causada per altres microorganismes gramnegatius
A418;Altres septicèmies especificades
A419;Septicèmia no especificada
A420;Actinomicosi pulmonar
A421;Actinomicosi abdominal
A422;Actinomicosi cervicofacial
A427;Septicèmia actinomicòtica
A428;Altres formes d'actinomicosi
A429;Actinomicosi no especificada
A430;Nocardiosi pulmonar
A431;Nocardiosi cutània
A438;Altres formes de nocardiosi
A439;Nocardiosi no especificada
A440;Bartonel·losi sistèmica
A441;Bartonel·losi cutània i mucocutània
A448;Altres formes de bartonel·losi
A449;Bartonel·losi no especificada
A480;Gangrena gasosa
A481;Malaltia dels legionaris
A482;Malaltia dels legionaris no pneumòtica [febre de Pontiac]
A483;Síndrome del xoc tòxic
A484;Febre purpúrica brasilera
A488;Altres malalties bacterianes especificades
A490;Infecció estafilocòccica de localització no especificada
A491;Infecció estreptocòccica de localització no especificada
A492;Infecció per Haemophilus influenzae de localització no especificada
A493;Infecció per micoplasmes de localització no especificada
A498;Altres infeccions bacterianes de localització no especificada
A499;Infecció bacteriana no especificada
A500;Sífilis congènita precoç simptomàtica
A501;Sífilis congènita precoç latent
A502;Sífilis congènita precoç no especificada
A503;Oftalmopatia sifilítica congènita tardana
A504;Neurosífilis congènita tardana [neurosífilis juvenil]
A505;Altres tipus de sífilis congènita tardana simptomàtica
A506;Sífilis congènita tardana latent
A507;Sífilis congènita tardana no especificada
A509;Sífilis congènita no especificada
A510;Sífilis genital primària
A511;Sífilis anal primària
A512;Sífilis primària d'altres localitzacions
A513;Sífilis secundària de pell i mucoses
A514;Altres sífilis secundàries
A515;Sífilis precoç latent
A519;Sífilis precoç no especificada
A520;Sífilis cardiovascular
A521;Neurosífilis simptomàtica
A522;Neurosífilis asimptomàtica
A523;Neurosífilis no especificada
A527;Altres tipus de sífilis tardanes simptomàtiques
A528;Sífilis tardana latent
A529;Sífilis tardana no especificada
A530;Sífilis latent no especificada com a precoç o tardana
A539;Sífilis no especificada
A540;Infecció gonocòccica del tracte genitourinari inferior sense abscés periuretral o de les glàndules accessòries
A541;Infecció gonocòccica del tracte genitourinari inferior amb abscés periuretral i de la glàndula accessòria
A542;Pelviperitonitis gonocòccica i altres infeccions genitourinàries
A543;Infecció gonocòccica d'ull
A544;Infecció gonocòccica de sistema musculoesquelètic
A545;Faringitis gonocòccica
A546;Infecció gonocòccica d'anus i recte
A548;Altres infeccions gonocòcciques
A549;Infecció gonocòccica no especificada
A560;Infecció per clamídies de tracte genitourinari inferior
A561;Infecció per clamídies de pelviperitoneu i altres òrgans genitourinaris
A562;Infecció per clamídies no especificada de tracte genitourinari
A563;Infecció per clamídies d'anus i recte
A564;Infecció per clamídies de faringe
A568;Infecció per clamídies de transmissió sexual d'altres localitzaccions
A590;Tricomonosi urogenital
A598;Tricomonosi d'altres localitzacions
A599;Tricomonosi no especificada
A600;Infecció per herpesvirus de genitals i tracte urogenital
A601;Infecció per herpesvirus de pell perianal i recte
A609;Infecció anogenital per herpesvirus no especificada
A630;Berrugues anogenitals (venèries)
A638;Altres malalties especificades de transmissió sobretot sexual
A660;Lesions inicials de pian
A661;Papil·lomatosi múltiple i pian plantar
A662;Altres lesions cutànies precoces de pian
A663;Hiperqueratosi de pian
A664;Gomes i úlceres de pian
A665;Gangosa
A666;Lesions d'ossos i articulacions de pian
A667;Altres manifestacions de pian
A668;Pian latent
A669;Pian no especificat
A670;Lesions primàries de pinta
A671;Lesions intermèdies de pinta
A672;Lesions tardanes de pinta
A673;Lesions mixtes de pinta
A679;Pinta no especificada
A680;Febre recurrent transmesa per polls
A681;Febre recurrent transmesa per paparres
A689;Febre recurrent no especificada
A690;Estomatitis necrosant ulcerosa
A691;Altres infeccions de Vincent
A692;Malaltia de Lyme
A698;Altres infeccions espiroquetals especificades
A699;Infecció espiroquetal no especificada
A710;Fase inicial de tracoma
A711;Fase activa de tracoma
A719;Tracoma no especificat
A740;Conjuntivitis per clamídies (H13.1**)
A748;Altres malalties per clamídies
A749;Infecció per clamídies no especificada
A750;Tifus epidèmic transmès per polls causat per Rickettsia prowazekii
A751;Tifus recurrent [malaltia de Brill]
A752;Tifus causat per Rickettsia typhi
A753;Tifus causat per Orientia tsutsugamushi [Rickettsia tsutsugamushi]
A759;Tifus no especificat
A770;Febre maculosa causada per Rickettsia rickettsii
A771;Febre maculosa causada per Rickettsia conorii
A772;Febre maculosa causada per Rickettsia sibirica
A773;Febre maculosa causada per Rickettsia australis
A778;Altres febres maculoses
A779;Febre maculosa no especificada
A790;Febre de les trinxeres
A791;Rickettsiosi exantemàtica causada per Rickettsia akari
A798;Altres rickettsiosis especificades
A799;Rickettsiosi no especificada
A800;Poliomielitis paralítica aguda associada a vacuna
A801;Poliomielitis paralítica aguda per virus salvatge, importada
A802;Poliomielitis paralítica aguda per virus salvatge, autòctona
A803;Altres poliomielitis paralítiques agudes i poliomielitis paralítiques agudes no especificades
A804;Poliomielitis aguda no paralítica
A809;Poliomielitis aguda no especificada
A810;Malaltia de Creutzfeldt-Jakob
A811;Panencefalitis esclerosant subaguda
A812;Leucoencefalopatia multifocal progressiva
A818;Altres infeccions del sistema nerviós central per virus atípics
A819;Infecció no especificada del sistema nerviós central per virus atípics
A820;Ràbia salvatge
A821;Ràbia urbana
A829;Ràbia no especificada
A830;Encefalitis japonesa
A831;Encefalitis equina de l'oest
A832;Encefalitis equina de l'est
A833;Encefalitis de Saint Louis
A834;Encefalitis australiana
A835;Encefalitis de Califòrnia
A836;Malaltia pel virus de Rocio
A838;Altres encefalitis víriques transmeses per mosquits
A839;Encefalitis vírica no especificada transmesa per mosquits
A840;Encefalitis de l'Extrem Orient transmesa per paparres [encefalitis russa vernoestival]
A841;Encefalitis centreeuropea transmesa per paparres
A848;Altres encefalitis víriques transmeses per paparres
A849;Encefalitis vírica no especificada transmesa per paparres
A850;Encefalitis per enterovirus (G05.1**)
A851;Encefalitis per adenovirus (G05.1**)
A852;Encefalitis vírica no especificada transmesa per artròpodes
A858;Altres encefalitis víriques especificades
A870;Meningitis per enterovirus (G02.0**)
A871;Meningitis per adenovirus (G02.0**)
A872;Coriomeningitis limfocítica
A878;Altres meningitis víriques
A879;Meningitis vírica no especificada
A880;Febre exantemàtica per enterovirus [exantema de Boston]
A881;Vertigen epidèmic
A888;Altres infeccions víriques especificades del sistema nerviós central
A920;Malaltia pel virus de Chikungunya
A921;Febre O'nyong-nyong
A922;Febre equina veneçolana
A923;Infecció pel virus del Nil occidental
A924;Febre de la vall de Rift
A928;Altres febres víriques especificades transmeses per mosquits
A929;Febre vírica no especificada transmesa per mosquits
A930;Malaltia pel virus d'Oropouche
A931;Febre per mosca de la sorra
A932;Febre del Colorado per paparres
A938;Altres febres víriques especificades transmeses per paparres
A950;Febre groga selvàtica
A951;Febre groga urbana
A959;Febre groga no especificada
A960;Febre hemorràgica pel virus de Junín
A961;Febre hemorràgica pel virus de Machupo
A962;Febre de Lassa
A968;Altres febres hemorràgiques per arenavirus
A969;Febre hemorràgica per arenavirus no especificada
A980;Febre hemorràgica de Crimea-Congo
A981;Febre hemorràgica d'Omsk
A982;Malaltia del bosc de Kyasanur
A983;Malaltia pel virus de Marburg
A984;Malaltia pel virus d'Ebola
A985;Febre hemorràgica amb síndrome renal
A988;Altres febres hemorràgiques víriques especificades
B000;Èczema herpètic
B001;Dermatitis vesicular per herpesvirus
B002;Gingivostomatitis i faringoamigdalitis per herpesvirus
B003;Meningitis per herpesvirus (G02.0**)
B004;Encefalitis per herpesvirus (G05.1**)
B005;Malaltia ocular per herpesvirus
B007;Malaltia disseminada per herpesvirus
B008;Altres formes d'infecció per herpesvirus
B009;Infecció per herpesvirus no especificada
B010;Meningitis per varicel·la (G02.0**)
B011;Encefalitis per varicel·la (G05.1**)
B012;Pneumònia per varicel·la (J17.1**)
B018;Varicel·la amb altres complicacions
B019;Varicel·la sense complicació
B020;Encefalitis per herpes zòster (G05.1**)
B021;Meningitis per herpes zòster (G02.0**)
B022;Herpes zòster amb altres afectacions del sistema nerviós
B023;Malaltia ocular per herpes zòster
B027;Herpes zòster disseminat
B028;Herpes zòster amb altres complicacions
B029;Herpes zòster sense complicació
B050;Xarampió complicat per encefalitis (G05.1**)
B051;Xarampió complicat per meningitis (G02.0**)
B052;Xarampió complicat per pneumònia (J17.1**)
B053;Xarampió complicat per otitis mitjana (H67.1**)
B054;Xarampió amb complicacions intestinals
B058;Xarampió amb altres complicacions
B059;Xarampió sense complicació
B060;Rubèola amb complicacions neurològiques
B068;Rubèola amb altres complicacions
B069;Rubèola sense complicació
B080;Altres infeccions per ortopoxvirus
B081;Mol·lusc contagiós
B082;Exantema sobtat [sisena malaltia]
B083;Eritema infecciós [cinquena malaltia]
B084;Estomatitis vesicular per enterovirus amb exantema
B085;Faringitis vesicular per enterovirus
B088;Altres infeccions víriques especificades caracteritzades per lesions a la pell i a les mucoses
B150;Hepatitis A amb coma hepàtic
B159;Hepatitis A sense coma hepàtic
B160;Hepatitis B aguda amb virus delta (coinfecció) amb coma hepàtic
B161;Hepatitis B aguda amb virus delta (coinfecció) sense coma hepàtic
B162;Hepatitis B aguda sense virus delta amb coma hepàtic
B169;Hepatitis B aguda sense virus delta i sense coma hepàtic
B170;Infecció o sobreinfecció delta aguda de portador d'hepatitis B
B171;Hepatitis C aguda
B172;Hepatitis E aguda
B178;Altres hepatitis víriques agudes especificades
B180;Hepatitis B crònica amb virus delta
B181;Hepatitis B crònica sense virus delta
B182;Hepatitis C crònica
B188;Altres hepatitis víriques cròniques
B189;Hepatitis vírica crònica no especificada
B190;Hepatitis vírica no especificada amb coma hepàtic
B199;Hepatitis vírica no especificada sense coma hepàtic humana [VIH] (Z21)
B200;Malaltia pel VIH que provoca infecció micobacteriana
B201;Malaltia pel VIH que provoca altres infeccions bacterianes
B202;Malaltia pel VIH que provoca malaltia per citomegalovirus
B203;Malaltia pel VIH que provoca altres infeccions víriques
B204;Malaltia pel VIH que provoca candidosi
B205;Malaltia pel VIH que provoca altres micosis
B206;Malaltia pel VIH que provoca pneumònia per Pneumocystis jirovecii
B207;Malaltia pel VIH que provoca infeccions múltiples
B208;Malaltia pel VIH que provoca altres malalties infeccioses i parasitàries
B209;Malaltia pel VIH que provoca malaltia infecciosa o parasitària no especificades
B210;Malaltia pel VIH que provoca sarcoma de Kaposi
B211;Malaltia pel VIH que provoca limfoma de Burkitt
B212;Malaltia pel VIH que provoca altres tipus de limfomes no hodgkinians
B213;Malaltia pel VIH que provoca altres neoplàsies malignes de teixit limfoide, teixit hematopoètic i teixits relacionats
B217;Malaltia pel VIH que provoca neoplàsies malignes múltiples
B218;Malaltia pel VIH que provoca altres neoplàsies malignes
B219;Malaltia pel VIH que provoca neoplàsia maligna no especificada
B220;Malaltia pel VIH que provoca encefalopatia
B221;Malaltia pel VIH que provoca pneumonitis intersticial limfoide
B222;Malaltia pel VIH que provoca caquèxia
B227;Malaltia pel VIH que provoca malalties múltiples classificades en un altre lloc
B230;Síndrome d'infecció pel VIH aguda
B231;Malaltia pel VIH que provoca limfadenopatia generalitzada
B232;Malaltia pel VIH que provoca anomalies hematològiques i immunològiques no classificades a cap altre lloc
B238;Malaltia pel VIH que provoca altres afeccions especificades
B250;Pneumonitis per citomegalovirus (J17.1**)
B251;Hepatitis per citomegalovirus (K77.0**)
B252;Pancreatitis per citomegalovirus (K87.1**)
B258;Altres malalties citomegalovíriques
B259;Malaltia citomegalovírica no especificada
B260;Orquitis per parotiditis (N51.1**)
B261;Meningitis per parotiditis (G02.0**)
B262;Encefalitis per parotiditis (G05.1**)
B263;Pancreatitis per parotiditis (K87.1**)
B268;Parotiditis amb altres complicacions
B269;Parotiditis sense complicació
B270;Mononucleosi per herpesvirus gamma
B271;Mononucleosi per citomegalovirus
B278;Altres mononucleosis infeccioses
B279;Mononucleosi infecciosa no especificada
B300;Queratoconjuntivitis produïda per adenovirus (H19.2**)
B301;Conjuntivitis produïda per adenovirus (H13.1**)
B302;Faringoconjuntivitis vírica
B303;Conjuntivitis hemorràgica epidèmica aguda (per enterovirus)
B308;Altres conjuntivitis víriques (H13.1**)
B309;Conjuntivitis vírica no especificada
B330;Miàlgia epidèmica
B331;Malaltia del riu Ross
B332;Carditis vírica
B333;Infeccions per retrovirus no classificades a cap altre lloc
B334;Síndrome pulmonar (cardiopulmonar) per hantavirus [SPH] [SCPH]
B338;Altres malalties víriques especificades
B340;Infecció per adenovirus de localització no especificada
B341;Infecció per enterovirus de localització no especificada
B342;Infecció per coronavirus de localització no especificada
B343;Infecció per parvovirus de localització no especificada
B344;Infecció per papovavirus de localització no especificada
B348;Altres infeccions víriques de localització no especificada
B349;Infecció vírica no especificada
B350;Tinya de la barba i del cap
B351;Tinya de les ungles
B352;Tinya de les mans
B353;Tinya dels peus
B354;Tinya del cos
B355;Tinya imbricada
B356;Tinya crural
B358;Altres dermatofitosis
B359;Dermatofitosi no especificada
B360;Pitiriasi versicolor
B361;Tinya negra
B362;Tricosporosi [piedra] blanca
B363;Tricosporosi [piedra] negra
B368;Altres micosis superficials especificades
B369;Micosi superficial no especificada
B370;Estomatitis per càndides
B371;Candidosi pulmonar
B372;Candidosi de pell i ungles
B373;Candidosi de vulva i vagina (N77.1**)
B374;Candidosi d'altres parts urogenitals
B375;Meningitis per càndides (G02.1**)
B376;Endocarditis per càndides (I39.8**)
B377;Septicèmia per càndides
B378;Candidosi d'altres localitzacions
B379;Candidosi no especificada
B380;Coccidioidomicosi pulmonar aguda
B381;Coccidioidomicosi pulmonar crònica
B382;Coccidioidomicosi pulmonar no especificada
B383;Coccidioidomicosi cutània
B384;Meningitis per coccidioidomicosi (G02.1**)
B387;Coccidioidomicosi disseminada
B388;Altres formes de coccidioidomicosi
B389;Coccidioidomicosi no especificada
B390;Infecció pulmonar aguda per Histoplasma capsulatum
B391;Infecció pulmonar crònica per Histoplasma capsulatum
B392;Infecció pulmonar no especificada per Histoplasma capsulatum
B393;Infecció disseminada per Histoplasma capsulatum
B394;Infecció no especificada per Histoplasma capsulatum
B395;Infecció per Histoplasma duboisii
B399;Histoplasmosi no especificada
B400;Blastomicosi pulmonar aguda
B401;Blastomicosi pulmonar crònica
B402;Blastomicosi pulmonar no especificada
B403;Blastomicosi cutània
B407;Blastomicosi disseminada
B408;Altres formes de blastomicosi
B409;Blastomicosi no especificada
B410;Paracoccidioidomicosi pulmonar
B417;Paracoccidioidomicosi disseminada
B418;Altres formes de paracoccidioidomicosi
B419;Paracoccidioidomicosi no especificada
B420;Esporotricosi pulmonar (J99.8**)
B421;Esporotricosi limfocutània
B427;Esporotricosi disseminada
B428;Altres formes d'esporotricosi
B429;Esporotricosi no especificada
B430;Cromomicosi cutània
B431;Abscés encefàlic feohifomicòtic
B432;Quist i abscés feohifomicòtics subcutanis
B438;Altres formes de cromomicosi
B439;Cromomicosi no especificada
B440;Aspergil·losi pulmonar invasiva
B441;Altres aspergil·losis pulmonars
B442;Aspergil·losi amigdalina
B447;Aspergil·losi disseminada
B448;Altres formes d'aspergil·losi
B449;Aspergil·losi no especificada
B450;Criptococcosi pulmonar
B451;Criptococcosi cerebral
B452;Criptococcosi cutània
B453;Criptococcosi òssia
B457;Criptococcosi disseminada
B458;Altres formes de criptococcosi
B459;Criptococcosi no especificada
B460;Mucormicosi pulmonar
B461;Mucormicosi rinocerebral
B462;Mucormicosi gastrointestinal
B463;Mucormicosi cutània
B464;Mucormicosi disseminada
B465;Mucormicosi no especificada
B468;Altres zigomicosis
B469;Zigomicosi no especificada
B470;Eumicetoma
B471;Actinomicetoma
B479;Micetoma no especificat
B480;Lobomicosi
B481;Rinosporidiosi
B482;Al·lesqueriosi
B483;Geotricosi
B484;Penicil·liosi
B487;Micosis per gèrmens oportunistes
B488;Altres micosis especificades
B500;Paludisme produït per Plasmodium falciparum amb complicacions cerebrals
B508;Altres paludismes greus i complicats produïts per Plasmodium falciparum
B509;Paludisme no especificat produït per Plasmodium falciparum
B510;Paludisme produït per Plasmodium vivax amb ruptura de melsa
B518;Paludisme produït per Plasmodium vivax amb altres complicacions
B519;Paludisme produït per Plasmodium vivax sense complicació
B520;Paludisme produït per Plasmodium malariae amb nefropatia
B528;Paludisme produït per Plasmodium malariae amb altres complicacions
B529;Paludisme produït per Plasmodium malariae sense complicació
B530;Paludisme produït per Plasmodium ovale
B531;Paludisme produït per Plasmodium simium
B538;Altres paludismes confirmats parasitològicament no classificats a cap altre lloc
B550;Leishmaniosi visceral
B551;Leishmaniosi cutània
B552;Leishmaniosi mucocutània
B559;Leishmaniosi no especificada
B560;Tripanosomosi gambiana
B561;Tripanosomosi rhodesiana
B569;Tripanosomosi africana no especificada
B570;Malaltia de Chagas aguda amb afectació cardíaca (I41.2**, I98.1**)
B571;Malaltia de Chagas aguda sense afectació cardíaca
B572;Malaltia de Chagas (crònica) amb afectació cardíaca
B573;Malaltia de Chagas (crònica) amb afectació de l'aparell digestiu
B574;Malaltia de Chagas (crònica) amb afectació del sistema nerviós
B575;Malaltia de Chagas (crònica) amb afectació d'un altre òrgan
B580;Oftalmopatia per toxoplasmes
B581;Hepatitis per toxoplasmes (K77.0**)
B582;Meningoencefalitis per toxoplasmes (G05.2**)
B583;Toxoplasmosi pulmonar (J17.3**)
B588;Toxoplasmosi amb afectació d'un altre òrgan
B589;Toxoplasmosi no especificada
B600;Babesiosi
B601;Acantamebosi
B602;Negleriosi
B608;Altres protozoosis especificades
B650;Esquistosomosi produïda per Schistosoma haematobium [esquistosomosi urinària]
B651;Esquistosomosi produïda per Schistosoma mansoni [esquistosomosi intestinal]
B652;Esquistosomosi produïda per Schistosoma japonicum
B653;Dermatitis per cercàries
B658;Altres esquistosomosis
B659;Esquistosomosi no especificada
B660;Opistorquiosi
B661;Clonorquiosi
B662;Dicroceliosi
B663;Fasciolosi
B664;Paragonimosi
B665;Fasciolopsiosi
B668;Altres infestacions per trematodes especificades
B669;Infestació per trematodes no especificada
B670;Infestació hepàtica per Echinococcus granulosus
B671;Infestació pulmonar per Echinococcus granulosus
B672;Infestació òssia per Echinococcus granulosus
B673;Infestació per Echinococcus granulosus d'altres localitzacions i localitzacions múltiples
B674;Infestació per Echinococcus granulosus no especificada
B675;Infestació hepàtica per Echinococcus multilocularis
B676;Infestació per Echinococcus multilocularis d'altres localitzacions i localitzacions múltiples
B677;Infestació per Echinococcus multilocularis no especificada
B678;Equinococcosi hepàtica no especificada
B679;Altres tipus d'equinococcosi i equinococcosis no especificades
B680;Teniosi per Taenia solium
B681;Teniosi per Taenia saginata
B689;Teniosi no específica
B690;Cisticercosi de sistema nerviós central
B691;Cisticercosi d'ull
B698;Cisticercosi d'altres localitzacions
B699;Cisticercosi no especificada
B700;Difil·lobotriosi
B701;Esparganosi
B710;Himenolepiosi
B711;Dipilidiosi
B718;Altres infestacions per cestodes especificades
B719;Infestació per cestodes no especificada
B740;Filariosi per Wuchereria brancofti
B741;Filariosi per Brugia malayi
B742;Filariosi per Brugia timori
B743;Loaosi
B744;Mansonel·losi
B748;Altres filariosis
B749;Filariosi no especificada
B760;Ancilostomosi [ancilostomiasi]
B761;Necatorosi
B768;Altres malalties provocades per ancilòstoms
B769;Malaltia no especificada provocada per ancilòstoms
B770;Ascariosi amb complicacions intestinals
B778;Ascariosi amb altres complicacions
B779;Ascariosi no especificada
B780;Estrongiloïdosi intestinal
B781;Estrongiloïdosi cutània
B787;Estrongiloïdosi disseminada
B789;Estrongiloïdosi no especificada
B810;Anisakiosi
B811;Capil·lariosi intestinal
B812;Tricostrongilosi
B813;Angiostrongilosi intestinal
B814;Helmintosis intestinals mixtes
B818;Altres helmintosis intestinals especificades
B820;Helmintosi intestinal no especificada
B829;Parasitisme intestinal no especificat
B830;Larva migrant visceral
B831;Gnatostomosi
B832;Angiostrongilosi produïda per Angiostrongylus cantonensis
B833;Singamosi
B834;Hirudinosi interna
B838;Altres helmintosis especificades
B839;Helmintosi no especificada
B850;Pediculosi per Pediculus humanus capitis
B851;Pediculosi per Pediculus humanus corporis
B852;Pediculosi no especificada
B853;Ftiriosi
B854;Pediculosi i ftiriosi mixtes
B870;Miasi cutània
B871;Miasi de les ferides
B872;Miasi ocular
B873;Miasi rinofaríngia
B874;Miasi auricular
B878;Miasi d'altres localitzacions
B879;Miasi no especificada
B880;Altres acarosis
